MeV,ux,B
0.5,1.0,1.24
0.5,2.0,1.42
0.5,4.0,1.69
0.5,7.0,2.00
0.5,10.0,2.27
0.5,15.0,2.65
0.5,20.0,2.73
1.0,1.0,1.37
1.0,2.0,1.69
1.0,4.0,2.26
1.0,7.0,3.02
1.0,10.0,3.74
1.0,15.0,4.81
1.0,20.0,5.86
2.0,1.0,1.39
2.0,2.0,1.76
2.0,4.0,2.51
2.0,7.0,3.66
2.0,10.0,4.84
2.0,15.0,6.87
2.0,20.0,9.00
3.0,1.0,1.34
3.0,2.0,1.68
3.0,4.0,2.43
3.0,7.0,2.75
3.0,10.0,5.30
3.0,15.0,8.44
3.0,20.0,12.3
4.0,1.0,1.27
4.0,2.0,1.56
4.0,4.0,2.25
4.0,7.0,3.61
4.0,10.0,5.44
4.0,15.0,9.80
4.0,20.0,16.3
5.1097,1.0,1.21
5.1097,2.0,1.46
5.1097,4.0,2.08
5.1097,7.0,3.44
5.1097,10.0,5.55
5.1097,15.0,11.7
5.1097,20.0,23.6
6.0,1.0,1.18
6.0,2.0,1.40
6.0,4.0,1.97
6.0,7.0,3.34
6.0,10.0,5.69
6.0,15.0,13.8
6.0,20.0,32.7
8.0,1.0,1.14
8.0,2.0,1.30
8.0,4.0,1.74
8.0,7.0,2.89
8.0,10.0,5.07
8.0,15.0,14.1
8.0,20.0,44.6
10.0,1.0,1.11
10.0,2.0,1.23
10.0,4.0,1.58
10.0,7.0,2.52
10.0,10.0,4.34
10.0,15.0,12.5
10.0,20.0,39.2
